,company_name,location,classification,revenue
1267,,"CHATTANOOGA, TN",Higher Education Institutions,"$8,463,644"
1268,,"KNOXVILLE, TN","Elementary, Secondary Education, K - 12","$2,260,129"
1269,,"KINGSTON, TN",Single Organization Support,
1270,,"HARRIMAN, TN",Community or Junior Colleges,"$4,932,388"
1271,,"ROCKFORD, TN",Parent/Teacher Group,
1272,,"ATHENS, TN",Parent/Teacher Group,
1273,,"CROSSVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1274,,"JOHNSON CITY, TN",Education N.E.C.,
1275,,"TELLICO PLNS, TN",Parent/Teacher Group,
1276,,"KINGSPORT, TN",Fund Raising and/or Fund Distribution,"$27,117"
1277,,"MURFREESBORO, TN","Professional Societies, Associations",
1278,,"LEWISBURG, TN",Nonmonetary Support N.E.C.,
1279,,"NASHVILLE, TN",Education N.E.C.,
1280,,"TRENTON, TN","Professional Societies, Associations",
1281,,"MEMPHIS, TN",Educational Services and Schools - Other,
1282,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1283,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1284,,"ANTIOCH, TN",Educational Services and Schools - Other,
1285,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$61,084"
1286,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1287,,"NASHVILLE, TN","Student Services, Organizations of Students",
1288,,"MURFREESBORO, TN",Parent/Teacher Group,
1289,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1290,,"GERMANTOWN, TN","Student Sororities, Fraternities","$111,427"
1291,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1292,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1293,,"MEMPHIS, TN","Student Sororities, Fraternities",
1294,,"NASHVILLE, TN","Student Sororities, Fraternities",
1295,,"CHATTANOOGA, TN",Parent/Teacher Group,
1296,,"SMITHVILLE, TN",Parent/Teacher Group,
1297,,"KNOXVILLE, TN",Educational Services and Schools - Other,
1298,,"MEMPHIS, TN",Parent/Teacher Group,
1299,,"PULASKI, TN",Educational Services and Schools - Other,
1300,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1301,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1302,,"KNOXVILLE, TN",Educational Services and Schools - Other,
1303,,"SOMERVILLE, TN",Fund Raising and/or Fund Distribution,
1304,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1305,,"CAMDEN, TN","Scholarships, Student Financial Aid Services, Awards","$12,258"
1306,,"MEMPHIS, TN","Student Services, Organizations of Students",
1307,,"GREENEVILLE, TN",Single Organization Support,
1308,,"ANTIOCH, TN",Educational Services and Schools - Other,
1309,,"WILLISTON, TN",Parent/Teacher Group,
1310,,"MEMPHIS, TN",Educational Services and Schools - Other,"$130,906"
1311,,"BRENTWOOD, TN",Fund Raising and/or Fund Distribution,
1312,,"GATLINBURG, TN",Education N.E.C.,
1313,,"NASHVILLE, TN","Primary, Elementary Schools",
1314,,"NASHVILLE, TN",Education N.E.C.,
1315,,"SPRING HILL, TN","Scholarships, Student Financial Aid Services, Awards",
1316,,"GALLATIN, TN",Single Organization Support,"$178,129"
1317,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$16,250,518"
1318,,"OLD HICKORY, TN",Education N.E.C.,
1319,,"NASHVILLE, TN",Education N.E.C.,"$6,092,335"
1320,,"LAKELAND, TN",Educational Services and Schools - Other,
1321,,"KNOXVILLE, TN",Nonmonetary Support N.E.C.,
1322,,"KNOXVILLE, TN",Alliance/Advocacy Organizations,
1323,,"NASHVILLE, TN",Educational Services and Schools - Other,
1324,,"JONESBOROUGH, TN",Single Organization Support,
1325,,"SPRING HILL, TN",Parent/Teacher Group,"$352,976"
1326,,"BRENTWOOD, TN",Fund Raising and/or Fund Distribution,
1327,,"GREENEVILLE, TN",Specialized Education Institutions,"$515,253"
1328,,"SWEETWATER, TN",Fund Raising and/or Fund Distribution,
1329,,"CLARKSVILLE, TN","Secondary, High School",
1330,,"LAWRENCEBURG, TN",Education N.E.C.,
1331,,"MORRISTOWN, TN",Fund Raising and/or Fund Distribution,
1332,,"MEMPHIS, TN",Education N.E.C.,"$6,501"
1333,,"MADISONVILLE, TN",Single Organization Support,"$23,279"
1334,,"KNOXVILLE, TN",Education N.E.C.,
1335,,"FRANKLIN, TN",Educational Services and Schools - Other,"$31,071"
1336,,"TELLICO PLNS, TN",Parent/Teacher Group,
1337,,"LA VERGNE, TN",Education N.E.C.,
1338,,"MEMPHIS, TN",Parent/Teacher Group,
1339,,"ALCOA, TN",Libraries,"$1,846,388"
1340,,"KNOXVILLE, TN",Educational Services and Schools - Other,"$17,169"
1341,,"PORTLAND, TN",Education N.E.C.,"$75,440"
1342,,"NASHVILLE, TN",Educational Services and Schools - Other,"$1,050,190"
1343,,"PIKEVILLE, TN",Education N.E.C.,"$46,645"
1344,,"COOKEVILLE, TN","Student Sororities, Fraternities","$20,181"
1345,,"CLARKSVILLE, TN","Student Sororities, Fraternities",
1346,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$200,449"
1347,,"NASHVILLE, TN",Management & Technical Assistance,"$1,519,471"
1348,,"JACKSON, TN","Adult, Continuing Education","$22,139"
1349,,"NASHVILLE, TN","Professional Societies, Associations",
1350,,"MURFREESBORO, TN",Education N.E.C.,
1351,,"MT JULIET, TN","Adult, Continuing Education",
1352,,"LEBANON, TN",Alliance/Advocacy Organizations,
1353,,"NASHVILLE, TN",Single Organization Support,"$10,309,355"
1354,,"NASHVILLE, TN","Professional Societies, Associations",
1355,,"BRENTWOOD, TN","Student Services, Organizations of Students",
1356,,"COOKEVILLE, TN",Single Organization Support,"$26,869,874"
1357,,"MEMPHIS, TN","Student Sororities, Fraternities",
1358,,"CHATTANOOGA, TN",Libraries (B71I),"$114,887"
1359,,"CROSSVILLE, TN","Scholarships, Student Financial Aid Services, Awards","$62,400"
1360,,"CLARKSVILLE, TN",Educational Services and Schools - Other,"$118,626"
1361,,"PULASKI, TN",Libraries,"$378,083"
1362,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$5,375,258"
1363,,"KNOXVILLE, TN",Single Organization Support,
1364,,"NASHVILLE, TN",Education N.E.C.,
1365,,"MURFREESBORO, TN",Single Organization Support,"$95,511"
1366,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12",
1367,,"MEMPHIS, TN",Educational Services and Schools - Other,"$3,317,933"
1368,,"NASHVILLE, TN",Education N.E.C.,"$404,841"
1369,,"KNOXVILLE, TN",Single Organization Support,"$225,358,367"
1370,,"JACKSON, TN",Specialized Education Institutions,
1371,,"CLARKSVILLE, TN",Alumni Associations,
1372,,"SEWANEE, TN","Student Sororities, Fraternities","$61,900"
1373,,"GALLATIN, TN","Adult, Continuing Education","$47,200"
1374,,"BARTLETT, TN","Secondary, High School",
1375,,"NASHVILLE, TN",Alumni Associations,
1376,,"SHELBYVILLE, TN",Educational Services and Schools - Other,
1377,,"SPRINGFIELD, TN",Education N.E.C.,"$2,020,747"
1378,,"LAFOLLETTE, TN","Adult, Continuing Education",
1379,,"MEMPHIS, TN",Education N.E.C.,
1380,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
1381,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1382,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1383,,"BRISTOL, TN","Primary, Elementary Schools",
1384,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)",
1385,,"KNOXVILLE, TN",Education N.E.C.,
1386,,"HIXSON, TN","Adult, Continuing Education (B63C)",
1387,,"LEBANON, TN",Single Organization Support,
1388,,"MAYNARDVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1389,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1390,,"UNION CITY, TN","Scholarships, Student Financial Aid Services, Awards","$493,008"
1391,,"JACKSON, TN",Undergraduate College (4-year),"$103,290,604"
1392,,"GERMANTOWN, TN",Education N.E.C.,
1393,,"CLARKSVILLE, TN","Secondary, High School","$67,441"
1394,,"PETERSBURG, TN",Fund Raising and/or Fund Distribution,
1395,,"NASHVILLE, TN","Professional Societies, Associations",
1396,,"SEWANEE, TN",University or Technological Institute,
1397,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1398,,"KNOXVILLE, TN","Student Services, Organizations of Students",
1399,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1400,,"NASHVILLE, TN",Education N.E.C.,
1401,,"MEMPHIS, TN",Educational Services and Schools - Other,
1402,,"CLARKSVILLE, TN","Student Services, Organizations of Students",
1403,,"GREENEVILLE, TN",Education N.E.C.,
1404,,"CHURCH HILL, TN",Single Organization Support,"$57,128"
1405,,"MORRISTOWN, TN",Community or Junior Colleges,"$1,218,604"
1406,,"WATERTOWN, TN",Parent/Teacher Group,
1407,,"LEBANON, TN",Single Organization Support,
1408,,"MEMPHIS, TN",Education N.E.C.,
1409,,"KNOXVILLE, TN",Single Organization Support,"$438,414"
1410,,"COLLIERVILLE, TN",Single Organization Support,"$6,314"
1411,,"BARTLETT, TN","Professional Societies, Associations",
1412,,"KNOXVILLE, TN",Single Organization Support,
1413,,"FAIRVIEW, TN",Parent/Teacher Group,
1414,,"MEMPHIS, TN",Single Organization Support,
1415,,"MEMPHIS, TN",Single Organization Support,
1416,,"NASHVILLE, TN",Parent/Teacher Group,
1417,,"JACKSON, TN","Scholarships, Student Financial Aid Services, Awards",
1418,,"OAK RIDGE, TN",Single Organization Support,
1419,,"MT JULIET, TN",Parent/Teacher Group,
1420,,"FRANKLIN, TN",Parent/Teacher Group,"$63,330"
1421,,"MEMPHIS, TN",Education N.E.C.,
1422,,"PULASKI, TN",Educational Services and Schools - Other,"$31,885"
1423,,"TOWNSEND, TN","Vocational, Technical Schools",
1424,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)",
1425,,"MEMPHIS, TN",Educational Services and Schools - Other,
1426,,"JOHNSON CITY, TN","Student Sororities, Fraternities","$53,678"
1427,,"CHATTANOOGA, TN",Alliance/Advocacy Organizations,
1428,,"BLUFF CITY, TN","Primary, Elementary Schools",
1429,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1430,,"KINGSPORT, TN",Parent/Teacher Group,
1431,,"MEMPHIS, TN","Student Services, Organizations of Students","$9,000"
1432,,"NASHVILLE, TN",Research Institutes and/or Public Policy Analysis,
1433,,"HENDERSONVLLE, TN","Elementary, Secondary Education, K - 12","$2,828,064"
1434,,"KNOXVILLE, TN","Adult, Continuing Education",
1435,,"MEMPHIS, TN",Education N.E.C.,
1436,,"KNOXVILLE, TN",Education N.E.C.,
1437,,"BRENTWOOD, TN",Education N.E.C.,
1438,,"LIMESTONE, TN","Adult, Continuing Education",
1439,,"CHATTANOOGA, TN","Adult, Continuing Education",
1440,,"NASHVILLE, TN",Alliance/Advocacy Organizations,"$188,339"
1441,,"MEMPHIS, TN","Adult, Continuing Education",
1442,,"COOKEVILLE, TN",University or Technological Institute,"$67,281"
1443,,"SAVANNAH, TN","Professional Societies, Associations",
1444,,"NASHVILLE, TN","Professional Societies, Associations",
1445,,"ALCOA, TN",Educational Services and Schools - Other (B95Z),"$101,222"
1446,,"ALCOA, TN",Alumni Associations,
1447,,"COOKEVILLE, TN",Parent/Teacher Group,
1448,,"SPRING HILL, TN",Single Organization Support,"$55,886"
1449,,"SPRING HILL, TN",Parent/Teacher Group,
1450,,"CHATTANOOGA, TN",Educational Services and Schools - Other,
1451,,"BARTLETT, TN","Student Services, Organizations of Students",
1452,,"NASHVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1453,,"MEMPHIS, TN","Student Services, Organizations of Students",
1454,,"KNOXVILLE, TN",Parent/Teacher Group,
1455,,"JOHNSON CITY, TN","Professional Societies, Associations",
1456,,"NASHVILLE, TN",Community or Junior Colleges,"$2,556,785"
1457,,"ARLINGTON, TN",Nonmonetary Support N.E.C.,
1458,,"ARLINGTON, TN",Single Organization Support,
1459,,"MURFREESBORO, TN","Scholarships, Student Financial Aid Services, Awards",
1460,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1461,,"KINGSPORT, TN","Adult, Continuing Education",
1462,,"KINGSPORT, TN","Adult, Continuing Education",
1463,,"KINGSPORT, TN","Adult, Continuing Education",
1464,,"NASHVILLE, TN",Education N.E.C.,
1465,,"NASHVILLE, TN","Elementary, Secondary Education, K - 12 (B29)","$1,065,087"
1466,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
1467,,"FRANKLIN, TN","Professional Societies, Associations",
1468,,"FRANKLIN, TN",Fund Raising and/or Fund Distribution,
1469,,"TULLAHOMA, TN","Student Services, Organizations of Students",
1470,,"MURFREESBORO, TN",Parent/Teacher Group,
1471,,"MILLINGTON, TN","Scholarships, Student Financial Aid Services, Awards",
1472,,"BARTLETT, TN",Parent/Teacher Group,
1473,,"BARTLETT, TN","Student Services, Organizations of Students",
1474,,"BARTLETT, TN",Fund Raising and/or Fund Distribution,
1475,,"FRANKLIN, TN","Secondary, High School","$25,765,415"
1476,,"CUNNINGHAM, TN","Scholarships, Student Financial Aid Services, Awards",
1477,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
1478,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12 (B29)","$2,100,782"
1479,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1480,,"KNOXVILLE, TN",Single Organization Support,"$109,801"
1481,,"KNOXVILLE, TN",Single Organization Support,"$81,822"
1482,,"KNOXVILLE, TN",Single Organization Support,
1483,,"HENDERSONVLLE, TN",Single Organization Support,"$50,117"
1484,,"NASHVILLE, TN",Parent/Teacher Group,
1485,,"MEMPHIS, TN",Education N.E.C.,
1486,,"GERMANTOWN, TN","Student Sororities, Fraternities",
1487,,"MEMPHIS, TN",Nonmonetary Support N.E.C.,"$39,839"
1488,,"KNOXVILLE, TN","Scholarships, Student Financial Aid Services, Awards",
1489,,"FRANKLIN, TN","Student Services, Organizations of Students",
1490,,"NASHVILLE, TN",Education N.E.C.,
1491,,"UNION CITY, TN","Scholarships, Student Financial Aid Services, Awards",
1492,,"LOUDON, TN",Education N.E.C.,
1493,,"GALLATIN, TN",Parent/Teacher Group,"$117,854"
1494,,"MOUNTAIN CITY, TN","Scholarships, Student Financial Aid Services, Awards",
1495,,"OAK RIDGE, TN",Single Organization Support,"$10,029"
1496,,"GRAY, TN",Fund Raising and/or Fund Distribution,
1497,,"MILLINGTON, TN",Single Organization Support,
1498,,"BARTLETT, TN",Parent/Teacher Group,
1499,,"MEMPHIS, TN",Fund Raising and/or Fund Distribution,
1500,,"NASHVILLE, TN","Remedial Reading, Reading Encouragement","$1,103,877"
1501,,"SPRINGFIELD, TN",Educational Services and Schools - Other,
1502,,"GERMANTOWN, TN",Fund Raising and/or Fund Distribution,
1503,,"BRENTWOOD, TN",Libraries,
1504,,"EADS, TN","Elementary, Secondary Education, K - 12","$26,903,624"
1505,,"MURFREESBORO, TN",Education N.E.C.,"$1,490,997"
1506,,"BRIGHTON, TN",Parent/Teacher Group,
1507,,"ANTIOCH, TN","Student Services, Organizations of Students",
1508,,"MEMPHIS, TN",Parent/Teacher Group,"$48,230"
1509,,"MURFREESBORO, TN",Single Organization Support,"$54,651"
1510,,"COOKEVILLE, TN",Parent/Teacher Group,
1511,,"COOKEVILLE, TN",Parent/Teacher Group,"$130,023"
1512,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12","$20,250,688"
1513,,"MURFREESBORO, TN",Management & Technical Assistance,
1514,,"MARYVILLE, TN",Parent/Teacher Group,
1515,,"JOHNSON CITY, TN","Professional Societies, Associations",
1516,,"WARTRACE, TN",Single Organization Support,
1517,,"MEMPHIS, TN",Educational Services and Schools - Other,
1518,,"HENDERSON, TN",Parent/Teacher Group,
1519,,"TAZEWELL, TN","Student Services, Organizations of Students",
1520,,"LORETTO, TN",Education N.E.C.,
1521,,"HARRISON, TN",Fund Raising and/or Fund Distribution,
1522,,"CLARKSVILLE, TN",Educational Services and Schools - Other,
1523,,"SPRING HILL, TN",Educational Services and Schools - Other,"$48,745"
1524,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)","$5,585,720"
1525,,"CHATTANOOGA, TN",Education N.E.C.,"$197,353"
1526,,"CHATTANOOGA, TN",Parent/Teacher Group,
1527,,"CHATTANOOGA, TN","Elementary, Secondary Education, K - 12 (B29)",
1528,,"PLEASANT VIEW, TN","Scholarships, Student Financial Aid Services, Awards",
1529,,"EAST RIDGE, TN",Education N.E.C.,
1530,,"KNOXVILLE, TN",Nonmonetary Support N.E.C.,"$792,055"
1531,,"POWELL, TN","Elementary, Secondary Education, K - 12",
1532,,"PEGRAM, TN","Scholarships, Student Financial Aid Services, Awards",
1533,,"BENTON, TN",Educational Services and Schools - Other,
1534,,"MEMPHIS, TN",Alliance/Advocacy Organizations,
1535,,"LAWRENCEBURG, TN","Elementary, Secondary Education, K - 12","$548,678"
1536,,"ANTIOCH, TN","Elementary, Secondary Education, K - 12","$6,237,553"
1537,,"SPARTA, TN",Education N.E.C.,
1538,,"POWELL, TN",Educational Services and Schools - Other,
1539,,"ATHENS, TN","Elementary, Secondary Education, K - 12","$1,305,407"
1540,,"COVINGTON, TN","Secondary, High School",
1541,,"TULLAHOMA, TN",Educational Services and Schools - Other,
1542,,"SHELBYVILLE, TN","Kindergarten, Preschool, Nursery School, Early Admissions","$991,569"
1543,,"CHATTANOOGA, TN",Education N.E.C.,
1544,,"MARTIN, TN",Libraries,"$284,329"
1545,,"HERMITAGE, TN","Scholarships, Student Financial Aid Services, Awards",
1546,,"CLARKSVILLE, TN",Education N.E.C.,
1547,,"SEVIERVILLE, TN",Parent/Teacher Group,
1548,,"CELINA, TN",Specialized Education Institutions,
1549,,"HEISKELL, TN","Scholarships, Student Financial Aid Services, Awards",
1550,,"NEWPORT, TN","Adult, Continuing Education",
1551,,"WINCHESTER, TN",Alliance/Advocacy Organizations,
1552,,"CHATTANOOGA, TN","Student Services, Organizations of Students",
1553,,"KNOXVILLE, TN","Professional Societies, Associations","$7,610,871"
1554,,"KNOXVILLE, TN","Professional Societies, Associations",
1555,,"KNOXVILLE, TN","Professional Societies, Associations",
1556,,"KNOXVILLE, TN","Professional Societies, Associations",
1557,,"KNOXVILLE, TN","Professional Societies, Associations",
1558,,"DICKSON, TN",Fund Raising and/or Fund Distribution,
1559,,"NASHVILLE, TN",Fund Raising and/or Fund Distribution,
1560,,"MEMPHIS, TN","Scholarships, Student Financial Aid Services, Awards",
1561,,"COLLIERVILLE, TN",Single Organization Support,
1562,,"COLLIERVILLE, TN",Parent/Teacher Group,"$28,141"
1563,,"COLLIERVILLE, TN",Single Organization Support,
1564,,"COLUMBIA, TN",Single Organization Support,"$48,053"
1565,,"HENDERSONVLLE, TN",Fund Raising and/or Fund Distribution,
1566,,"NASHVILLE, TN",Specialized Education Institutions,"$168,429"
1567,,"BROWNSVILLE, TN",Educational Services and Schools - Other,
1568,,"GALLATIN, TN",Fund Raising and/or Fund Distribution,
1569,,"MEMPHIS, TN","Elementary, Secondary Education, K - 12",
1570,,"COOKEVILLE, TN",Single Organization Support,
1571,,"FRANKLIN, TN",Parent/Teacher Group,
1572,,"SPRINGFIELD, TN",Parent/Teacher Group,
1573,,"CORDOVA, TN","Student Services, Organizations of Students",
1574,,"POWELL, TN",Parent/Teacher Group,"$45,280"
1575,,"HENDERSONVLLE, TN",Single Organization Support,
1576,,"MARYVILLE, TN",Single Organization Support,
1577,,"COVINGTON, TN",Parent/Teacher Group,
1578,,"SPRINGFIELD, TN",Fund Raising and/or Fund Distribution,
1579,,"NASHVILLE, TN",Educational Services and Schools - Other,
1580,,"SWEETWATER, TN","Elementary, Secondary Education, K - 12","$542,959"
1581,,"KNOXVILLE, TN",Educational Services and Schools - Other,
