name,address,city,zipcode,classification_codes,tax_period,asset_amount,income_amount,revenue_amount,ntee_code
COFFEE COUNTY FRIENDS OF THE LIBRARY,PO BOX 1462,TULLAHOMA,37388-1462,1300,12/1/22,0,0,0,B70
COFFEE COUNTY QUARTERBACK CLUB,3038 MURFREESBORO HWY,MANCHESTER,37355-3279,1000,6/1/22,287647,138006,137506,B11
COGDELL FAMILY MEMORIAL SCHOLARSHIP FUND,41 NORTH MAIN STREET,LEXINGTON,38351-2036,2000,12/1/22,0,0,0,B82
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN RESOURCES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE AND UNIVERSITY PROFESSIONAL ASSOCIATION FOR HUMAN SERVICES,1811 COMMONS POINT DR,KNOXVILLE,37932-1989,2100,6/1/22,0,0,0,B034
COLLEGE ATHLETIC TRAINERS SOCIETY,PO BOX 20437,KNOXVILLE,37940-1437,1000,12/1/22,482538,261643,261643,B80
COLLEGE BOUND ATHLETICS FOUNDATION,2034 STRAIGHTWAY AVE,NASHVILLE,37206-2214,2000,12/1/20,0,0,0,B82
COLLEGE GROVE ELEMENTARY SCHOOL PTO,6668 AMO COLLEGE GROVE RD,COLLEGE GROVE,37046-0000,1000,6/1/22,23382,155312,115773,B94
COLLEGE READY NOW INC PO BOX 140345,PO BOX 140345,NASHVILLE,37214-0345,1000,6/1/21,0,0,0,B90
COLLIERVILLE HIGH SCHOOL ALUMNI ASSOCIATION,PO BOX 633,COLLIERVILLE,38027-0633,1200,12/1/22,571150,7355,7355,B82
COLLIERVILLE HIGH SCHOOL COMMUNICATION ARTS AND THEATRE DEP,11605 E SHELBY DR,COLLIERVILLE,38017-9511,2000,7/1/19,0,0,0,B90
COLLIERVILLE HIGH SCHOOL PTSO,11605 E SHELBY DR,COLLIERVILLE,38017-9511,2000,6/1/22,0,0,0,B94
COLLIERVILLE HIGH SCHOOL WRESTLING BOOSTER CLUB,11605 E SHELBY DR,COLLIERVILLE,38017-9511,2000,6/1/22,0,0,0,B11
COMMONWEALTH LEADERSHIP ACADEMY OF CLARKSVILLE CLAC,851 PRICE LN,CLARKSVILLE,37040-2008,1270,5/1/22,0,0,0,B99
COMMUNITY OF ST THERESE OF LISIEUX,PO BOX 11466,MEMPHIS,38111-0466,1000,7/1/22,363827,112186,112186,B92
COMMUNITY RESOURCE & DEVELOPMENT CENTER INC,1919 CHARLOTTE AVENUE,NASHVILLE,37203-2161,1000,12/1/22,0,0,0,B90
COOKEVILLE IMPACT INC,PO BOX 951,COOKEVILLE,38503-0951,1000,12/1/21,37268,49123,49123,B82
COOPERTOWN MIDDLE SCHOOL PARENT-TEACHER ORGANIZATION,3820 HIGHWAY 49 W,SPRINGFIELD,37172-5651,1200,6/1/22,0,0,0,B112
COPPER BASIN BAND BOOSTER CLUB,300 COUGAR DR,COPPERHILL,37317-5008,1000,6/1/22,0,0,0,B11
CORDOVA EARLY CHILDHOOD LEARNING CENTER,8707 FAY RD,CORDOVA,38018-6407,7200,,,,,B21
CORNERSVILLE ATHLETIC BOOSTER CLUB,PO BOX 281,CORNERSVILLE,37047-0281,2000,2/1/22,40374,62394,31176,B99
COVENANT ACADEMY,1079 COUNTRY CLUB DR,MCMINNVILLE,37110-7485,7000,,,,,B20
COVENANT ACADEMY,325 BRAUN ST,CROSSVILLE,38555-4653,1000,5/1/22,1563947,1309529,1280455,B20
COVENANT SCHOOL,33 BURTON HILLS BLVD,NASHVILLE,37215-6103,7000,,,,,B24
COYOTE QUARTERBACK CLUB,1210 W CREEK COYOTE TRL,CLARKSVILLE,37042-6385,1200,12/1/22,1,1,,B94
CRAIG ALEXANDER FOUNDATION,427 NICHOL MILL LN APT 130,FRANKLIN,37067-8354,1000,12/1/22,0,0,0,B92
CRESCENT FOUNDATION OF WILLIAMSON COUNTY,8011 BROOKS CHAPEL RD,BRENTWOOD,37027-3964,1200,12/1/22,0,0,0,B25
CROCKETT ELEMENTARY SCHOOL PTO,9019 CROCKETT RD,BRENTWOOD,37027-8400,1000,6/1/22,170313,132357,124122,B94
CROSSBRIDGE INC,35 LINDSLEY AVE,NASHVILLE,37210-2366,1000,5/1/22,8153054,6274336,6269666,B60
CROSSROADS CHRISTIAN COOPERATIVE,1963 MARTEL RD,LENOIR CITY,37772-6137,2000,6/1/22,488784,483684,483684,B24
CULTURE BOOKS,6603 RIGGINS DR,CHATTANOOGA,37421-2431,1200,3/1/23,0,0,0,B99
DALE HUFF MEMORIAL SCHOLARSHIP FUND,107 CEDAR SPRINGS TRL,HENDERSONVLLE,37075-3911,1000,6/1/22,0,0,0,B82
DAN MILLS ELEMENTARY SCHOOL PARENTS TEACHERS ORGANIZATION,4106 KENNEDY AVE,NASHVILLE,37216-2522,1000,6/1/22,44432,117650,51407,B94
DARE 2 DREAM LEARNING CENTER INC,707 MAIN STREET 119,NASHVILLE,37206-3605,2000,,,,,B90
DAVID YOUREE ELEMENTARY PARENT TEACHER ORGANIZATION,250 TODD LN,SMYRNA,37167-3201,1000,6/1/22,0,0,0,B94
DCHS CHEER ALUMNI ASSOCIATION,960 NANCY SHAWL RD,DICKSON,37055-5049,1000,,,,,B84
DECISIONS CHOICES AND OPTIONS INC,623 E MAIN ST STE 4,HENDERSONVLLE,37075-2641,1000,12/1/22,217799,396612,370679,B01
DEKALB COUNTY YOUTH BASEBALL INC,2157 COOKEVILLE HWY,SMITHVILLE,37166-7444,2000,12/1/22,0,0,0,B99
DEMOCRACY VS AUTOCRACY INC,2100 HAMILTON PLACE BLVD STE 2010,CHATTANOOGA,37421-6114,2000,12/1/21,0,0,0,B01
DES BULLDOGS PTO,1311 9TH ST,OLD HICKORY,37138-3215,2100,6/1/20,0,0,0,B112
DESTI,PO BOX 22083,CHATTANOOGA,37422-2083,1000,12/1/21,0,0,0,B99
DISCOVERY HOMESCHOOL CO-OP,8353 WINDERSVILLE DR,BARTLETT,38133-2776,2000,,,,,B90
DOBYNS-BENNETT SOCCER BOOSTERS,1 TRIBE WAY,KINGSPORT,37664-2283,1000,5/1/21,0,0,0,B11
DONALD D THOMAS SCHOLARSHIP FUND,2655 DIBRELL TRAIL DR,COLLIERVILLE,38017-8966,1200,12/1/22,0,0,0,B82
DR BARTON WILLIAMS MEMORIAL FUND,6995 THORPE DR,MASON,38049-7165,1200,12/1/22,0,0,0,B12
DR MARLIN D NELSON MEMORIAL SCHOLARSHIP FOUNDATION,155 CHEEK RD,NASHVILLE,37205-4215,1200,12/1/22,0,0,0,B82
DRAGON BOOSTER CLUB INC,1061 BOURBON PL,MEMPHIS,38106-1504,1200,12/1/22,0,0,0,B12
DYERSBURG HOSPITAL AUXILIARY GIFT SHOP,400 E TICKLE ST,DYERSBURG,38024-3120,1200,4/1/22,8837,6433,2124,B82
E - CLUB,3937 UNIVERSITY ST,MEMPHIS,38127-4040,1000,7/1/22,0,0,0,B84
EAGLE BASEBALL BOOSTER,3701 TRENTON RD,CLARKSVILLE,37040-5611,1200,9/1/21,0,0,0,B122
EAGLE NEST INTERNATIONAL MINISTRIES INC,146 CHESTUEE XING,CALHOUN,37309-3039,2000,12/1/22,3407,14527,14527,B20
EARN WORK ACHIEVE INC,8200 DEXTER CREEK LN APT 104,CORDOVA,38016-2066,2000,,,,,B90
EAST HIGH FOOTBALL BOOSTERS CLUBINC,1 HURRICANE LN,MORRISTOWN,37813-2378,1000,12/1/21,13564,81959,50878,B11
EAST KNOX ELEMENTARY PARENT TEACHER ORGANIZATION,9315 RUTLEDGE PIKE,MASCOT,37806-1700,2000,7/1/19,29487,36281,27600,B11
EAST TENNESSEE COMPUTER SOCIETY,704 EBENEZER RD,KNOXVILLE,37923-5904,2000,12/1/22,0,0,0,B60
EATING DISORDERS COALITION OF TENNESSEE INC,1101 17TH AVE S,NASHVILLE,37212-2257,2000,6/1/22,363000,415048,395082,B60
ECHO RESOURCES,228 HESSES CREEK RD,WALLAND,37886-2709,1000,9/1/22,2383,91893,91893,B90
EDMONDSON ELEMENTARY SCHOOL PARENTS & TEACHERS ORGANIZATION,851 EDMONDSON PIKE,BRENTWOOD,37027-8203,2000,6/1/22,127024,131441,115732,B94
EDUCATION CITIES INC,PO BOX 11547,MEMPHIS,38111-0547,2100,6/1/18,1278562,1512276,1512276,B11
EDUSOURCE UNLIMITED,4300 WESTRIDGE RD,CHATTANOOGA,37409-1521,2000,12/1/21,0,0,0,B02
EDWARD & NORMA MYERS EDUCATIONAL FUND,231 S 4TH ST,UNION CITY,38261-3703,2000,12/1/21,79500,290,,B82
EIC WCS CATALYST NETWORK INC,104 CLAUDE YATES DR,FRANKLIN,37064-2085,1000,6/1/21,35274,77500,77500,B12
ELB MINISTRIES,4250 THUNDERSTORM COURT,MEMPHIS,38125-0000,2000,6/1/19,0,0,0,B60
ELES HOUSE,213 BUCK RUN DR,NASHVILLE,37214-4747,1200,5/1/22,0,0,0,B90
ELITE 3 FOUNDATION,2600 SOLON DR,NASHVILLE,37206-1348,1230,,,,,B80
ELITE 5 STARS INC,5170 HICKORY HOLLOW PARKWAY ROOM 30,ANTIOCH,37013-3051,2000,12/1/16,750,125,125,B90
ELZIE D PATTON ELEMENTARY PTO,1003 WOODRIDGE PL,MOUNT JULIET,37122-3085,1200,5/1/23,0,0,0,B94
EMERALD CHARTER SCHOOLS,1014 HEISKELL AVE,KNOXVILLE,37921-1932,2000,6/1/22,7649201,5598772,5598772,B29
EMMA FILA FOUNDATION,2948 TOPSIDE RD UNIT 517,LOUISVILLE,37777-3882,1200,12/1/22,117422,1740,1740,B82
ETSU-CON,308 CAR MOL DR APT 17,JOHNSON CITY,37601-1109,2000,,,,,B80
EVERYTHING STARTS WITH 1,1506 BLOUNT AVE SW,CLEVELAND,37311-6821,2000,12/1/22,0,0,0,B99
EX LIBRIS BLUEGRASS USERS GROUP,419 21ST AVE S,NASHVILLE,37203-2405,2000,,,,,B70
EXETUTOR,1007 OLD HEARTHSTONE CIR W,COLLIERVILLE,38017-3794,2000,,,,,B80
EXPANDED EDUCATIONAL SERVICES INC,4324 CLARKE RD,MEMPHIS,38141-6711,2000,12/1/22,0,0,0,B24
EXPLORERS HOMESCHOOL ACADEMY,5209 DARROWBY DR,OOLTEWAH,37363-7405,2000,6/1/22,0,0,0,B90
EXTENDED SCHOOL PROGRAM INC,734 ELYSIAN FIELDS RD,NASHVILLE,37204-4417,1200,6/1/22,337387,409525,409525,B90Z
FAIRVIEW HIGH SCHOOL PARENT TEACHER ORGANIZATION,2595 FAIRVIEW BLVD,FAIRVIEW,37062-9027,1000,5/1/22,95984,247688,247688,B25I
FALL BRANCH HISTORICAL SOCIETY,112 FIRE HALL RD,FALL BRANCH,37656-1718,1000,12/1/17,0,0,0,B99
FAMILY BUSINESS OFFICE CENTER,2928 E MAGNOLIA AVE STE 201,KNOXVILLE,37914-4532,1200,12/1/20,0,0,0,B90
FARRAGUT HIGH NJROTC BOOSTER CLUB,11237 KINGSTON PIKE,FARRAGUT,37934-2840,2000,5/1/21,0,0,0,B11
FARRAGUT INTERMEDIATE SCHOOL PTO,208 W END AVE,KNOXVILLE,37934-2824,1200,,,,,B94
FBI KNOXVILLE CITIZENS ACADEMY ALUMNI ASSOCIATION,PO BOX 50221,KNOXVILLE,37950-0221,1000,12/1/22,0,0,0,B84
FIRST SOUND,3422 HELMSLEY CT,MARYVILLE,37803-7527,1200,12/1/22,0,0,0,B82
FLAGSHIP ROBOTICS 3140 FOUNDATION INC,11237 KINGSTON PIKE,KNOXVILLE,37934-2840,1000,6/1/22,0,0,0,B11
FOUNDATION FOR THE SEVIER COUNTY PUBLIC LIBRARY SYSTEM,PO BOX 6693,SEVIERVILLE,37864-6693,1000,12/1/22,773883,98459,98459,B117
FOUNDERS FORGE,404 S ROAN ST,JOHNSON CITY,37601-5728,2000,12/1/21,87488,134394,,B99
FOUNTAIN CITY ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION INC,2910 MONTBELLE DR,KNOXVILLE,37918-3933,1200,6/1/22,0,0,0,B94
FRANKLIN H S PARENTS CLUB,810 HILLSBORO RD,FRANKLIN,37064-2014,2000,6/1/22,66794,138089,138089,B94
FRANKLIN HIGH SCHOOL ATHLETIC BOOSTER CLUB INC,801 HILLSBORO RD,FRANKLIN,37064-2013,1000,12/1/22,282632,579773,579773,B112
FREEDOM PREPARATORY ACADEMY INC,136 WEBSTER AVE,MEMPHIS,38126-3002,2000,6/1/22,50857494,33295008,33295008,B24
FRESHWATER,2549 WEAVER PIKE,BRISTOL,37620-5620,1000,12/1/21,0,0,0,B19
FRIENDS OF BETHESDA PUBLIC LIBRARY,4905 BETHESDA RD,THOMPSONS STN,37179-9231,1200,12/1/19,0,0,0,B117
FRIENDS OF ETOWAH CARNEGIE LIBRARY,PO BOX 115,ETOWAH,37331-0115,1200,6/1/22,0,0,0,B12
FRIENDS OF ROCKY TOP PUBLIC LIBRARY,137 MCCULLY LN,LAKE CITY,37769-5554,1000,12/1/22,0,0,0,B117
FRIENDS OF SWEETWATER PUBLIC LIBRARY INC,210 MAYES AVE,SWEETWATER,37874-2620,1238,,,,,B70
FRIENDS OF TENNESSEE LIBRARIES,PO BOX 681493,FRANKLIN,37068-1493,2000,12/1/22,0,0,0,B70Z
FRIENDS OF THE BARTLETT PUBLIC LIBRARY,5884 STAGE RD,BARTLETT,38134-4522,2000,6/1/22,0,0,0,B70
FRIENDS OF THE ELMA ROSS PUBLIC LIBRARY,1011 E MAIN ST,BROWNSVILLE,38012-2652,1000,12/1/20,0,0,0,B117
FRIENDS OF THE GERMANTOWN COMMUNITYLIBRARY INC,1925 EXETER RD,GERMANTOWN,38138-2934,2000,12/1/22,39738,87270,87270,B11
FRIENDS OF THE GIBSON COUNTY MEMORIAL LIBRARY,303 HIGH STREET,TRENTON,38382-0000,2000,6/1/22,0,0,0,B117
FRIENDS OF THE HUMBOLDT PUBLIC LIBRARY,1402 BRADFORD DR,HUMBOLDT,38343-1523,1000,12/1/22,0,0,0,B127
FRIENDS OF THE LEIPERS FORK PUBLIC LIBRARY,5333 OLD HIGHWAY 96,FRANKLIN,37064-9357,1200,12/1/21,0,0,0,B70
FRIENDS OF THE LINEBAUGH PUBLIC LIBRARY,PO BOX 2903,MURFREESBORO,37133-2903,2000,12/1/22,0,0,0,B71I
FRIENDS OF THE VONORE PUBLIC LIBRARY,611 CHURCH ST,VONORE,37885-2324,1000,12/1/22,0,0,0,B117
FRIENDS OF THE W G RHEA PUBLIC LIBRARY,400 W WASHINGTON ST,PARIS,38242-3903,1200,12/1/21,5961,20476,17516,B11
FRIENDS OF THE WASHINGTON COUNTY JONESBOROUGH LIBRARY,200 E SABINE DR,JONESBOROUGH,37659-1306,1000,4/1/22,0,0,0,B11
FRIENDSHIP CHRISTIAN SCHOOL INC,5400 COLES FERRY PIKE,LEBANON,37087-9407,2000,5/1/22,8454911,9992989,9965951,B24Z
FROM COVER TO COVER LITERACY FOUNDATION,2208 HAMLET HILL DR,ANTIOCH,37013-2969,2800,12/1/21,0,0,0,B20
FUTURE LEADERS OF EXCELLENCE ACADEMY,708 S DICKERSON RD,GOODLETTSVLLE,37072-1704,2000,12/1/21,10270,506218,506218,B21
FUTUREREADY INC,219 54TH AVE N,NASHVILLE,37209-3315,1200,12/1/21,0,0,0,B99
GABRIEL CHAMBER MUSIC INC,1594 LAWTON TRL,GERMANTOWN,38138-2828,2000,12/1/22,0,0,0,B90
GALLATIN CHILD CARE CENTER INC,445 HULL CIR,GALLATIN,37066-2367,1000,6/1/22,279249,392361,392361,B21
GAMMA PHI CHAPTER INC,1612 ELIZABETH RD,NASHVILLE,37218-2512,2000,10/1/22,0,0,0,B82
GATLINBURG ROTARY FOUNDATION INC,PO BOX 1144,GATLINBURG,37738-1144,1000,6/1/22,98121,87285,59423,B82
GENERAL ALUMNI ASSOCIATION OF FISK UNIVERSITY,1000 17TH AVE N,NASHVILLE,37208-3045,1000,12/1/22,175850,144978,144978,B12
GEORGE COOPER CONNOR COUNCIL AMD,PO BOX 16454,CHATTANOOGA,37416-0454,1000,12/1/22,0,0,0,B82
GERMANTOWN ALUMNI EDUCATION FOUNDATION OF KAPPA ALPHA PSI INCO,PO BOX 382252,GERMANTOWN,38183-2252,1000,12/1/21,0,0,0,B84
GERMANTOWN TOUCHDOWN CLUB,PO BOX 382641,GERMANTOWN,38183-2641,1000,,,,,B11
GHHS LADY HAWKS SOFTBALL,220 N GREENHILL RD,MOUNT JULIET,37122-2670,2000,6/1/20,0,0,0,B11
GIBSON COUNTY MEMORIAL LIBRARY FOUNDATION,303 S HIGH ST,TRENTON,38382-2027,2000,12/1/22,194277,35823,34301,B12
GLADEVILLE MIDDLE SCHOOL PTO,8275 STEWARTS FERRY PIKE,MOUNT JULIET,37122-7108,2000,6/1/22,0,0,0,B94
GLENELLEN ELEMENTARY SCHOOL PTO,825 NEEDMORE RD,CLARKSVILLE,37040-2802,1000,5/1/18,0,0,0,B900
GLENWOOD ELEMENTARY P T O,125 AUDUBON RD,OAK RIDGE,37830-5810,1200,7/1/18,0,0,0,B94
GLOBAL COMMUNITY ECONOMIC DEVELOPMENT CORPORATION NFP,5100 WYOMING AVE,NASHVILLE,37209-3345,1000,6/1/22,0,0,0,B92
GLOBAL LIFE WONDER,7835 ELMINGTON DR APT 102,CORDOVA,38018-8308,1000,12/1/20,1000,0,0,B90
GOLD STAR MENTORS,505 BRADFORD HILLS PL,NASHVILLE,37211-7931,1200,12/1/22,200579,97208,97208,B90
GOOD CHOICES GOOD LIFE INC,6075 POPLAR AVE STE 413,MEMPHIS,38119-0100,2000,12/1/19,615,3780,3780,B99
GOOD GROUND GROUP INC,PO BOX 160821,NASHVILLE,37216-0821,2000,,,,,B90
GOVERNORS EARLY LITERACY FOUNDATION,710 JAMES ROBERTSON PKWY,NASHVILLE,37243-1219,2000,6/1/22,14335895,19356564,14676458,B92
GOVERNORS RURAL EDUCATION FOUNDATION,304 SLOAN RD NUM 304,NASHVILLE,37209-4653,1200,,,,,B82
GOWER ELEMENTARY SCHOOL PARENT TEACHER ORGANIZATION,650 OLD HICKORY BLVD,NASHVILLE,37209-5126,1200,6/1/22,0,0,0,B112
GRACE ELEANOR MITCHELL SCHOLARSHIP FUND,PO BOX 666,DUNLAP,37327-0666,1000,,,,,B82
GRACE RESOURCES,6100 JOHNSON CHAPEL RD,BRENTWOOD,37027-5722,1000,12/1/22,9310,65667,65667,B60
GREATER LIFE NETWORK,3325 KEYSTONE AVE,MEMPHIS,38128-1788,1200,12/1/22,0,0,0,B90
GREATER NASHVILLE ALLIANCE OF BLACK SCHOOL EDUCATORS INC,PO BOX 280233,NASHVILLE,37228-0233,2000,6/1/22,0,0,0,B90
GREEN HILLS LEARNING CENTER INC,320 N CEDAR BLUFF RD STE 203,KNOXVILLE,37923-4524,1000,12/1/21,0,0,0,B80
GREEN WAVE QUARTERBACK CLUB,PO BOX 1731,GALLATIN,37066-1731,1000,12/1/22,38346,134016,46827,B25
GREENE COUNTY IMAGINATION LIBRARY,PO BOX 2922,GREENEVILLE,37744-2922,1200,12/1/22,63319,46912,46912,B70
GREENEVILLE SCHOOL SUPPORT CORPORATION,550 TUSCULUM BLVD,GREENEVILLE,37745-3939,2000,5/1/22,272062,717431,260788,B119
GREENEVILLE SCHOOLS IN ACTION,129 W DEPOT ST STE 4,GREENEVILLE,37743-1103,2000,6/1/22,69965,81240,74058,B94
GRESHAM MIDDLE SCHOOL FOUNDATION INC,PO BOX 5802,KNOXVILLE,37928-0802,1000,12/1/20,41441,32560,32560,B12
GUATEMALA SCHOLARS NETWORK,2301 VANDERBILT PL,NASHVILLE,37235-0002,2000,12/1/18,0,0,0,B03
GUY ANTHONY SPELLS SR SCHOLARSHIP FUND,611 N 5TH ST,NASHVILLE,37207-5812,1200,12/1/21,0,0,0,B82
HAMPSHIRE SCHOOL FOUNDATION,4235 OLD STATE RD,HAMPSHIRE,38461-4536,1200,6/1/22,0,0,0,B11
HAMPTON UNIVERSITY,10 N MAIN ST APT 702,MEMPHIS,38103-2174,2000,,,,,B43Z
HARDEMAN COUNTY IMAGINATION LIBRARY,PO BOX 501,BOLIVAR,38008-0501,2100,12/1/21,0,0,0,B92
HARDING ACADEMY,170 WINDSOR DR,NASHVILLE,37205-3719,2000,6/1/22,42272684,15425206,14070043,B240
HARRIS EDUCATIONAL ADVANCEMENT FOUNDATION CORPORATION,6275 KIRBY DOWNS DR,MEMPHIS,38115-2718,2000,,,,,B90
HATTIE COTTON PTO,1033 W GREENWOOD AVE,NASHVILLE,37206-3447,2000,12/1/18,0,0,0,B94
HAWK BAND ASSOCIATION INC,PO BOX 30681,CLARKSVILLE,37040-0012,1000,12/1/22,0,0,0,B11
HAWKINS SUPPORT ORGANIZATION,487 A WALTON FERRY RD,HENDERSONVILLE,37075-4132,1000,12/1/21,0,0,0,B94
HBCU MEMPHIS,4900 FARMWOOD DR,MEMPHIS,38116-7900,2000,12/1/21,808,85000,85000,B90
HEART & HUSTLE FOUNDATION,2946 PRINCE DR,CLARKSVILLE,37043-9305,1270,,,,,B82
HEART OF A CHAMPION INC,351 FINGER LEAPWOOD RD,FINGER,38334-2207,1000,12/1/22,0,0,0,B12
HELPING YOUNG PEOPLE EXCEL,8157 ROBENA LN,MILLINGTON,38053-5752,1200,12/1/22,0,0,0,B12
HENRY COUNTY PREVENTION COALITION,PO BOX 733,PARIS,38242-0733,1200,,,,,B12
HENRY E AND NANCY BARTELS TRUST FBO THE CHI PSI EDUC TRUST INC,45 RUTLEDGE ST,NASHVILLE,37210-2042,1000,12/1/21,2776791,1055291,137883,B11
HIDDEN TREASURES ACADEMY INC,PO BOX 237,JEFFERSON CTY,37760-0237,1000,12/1/17,0,0,0,B99
HIGHER LEARNING PROJECT,1369 CEDAR RUN CV,CORDOVA,38016-1618,1000,,,,,B25
HIGHERUP,2450 FRAYSER BLVD,MEMPHIS,38127-5823,2000,12/1/22,0,0,0,B90
HILLSBORO HIGH SCHOOL PTSO,3812 HILLSBORO PIKE,NASHVILLE,37215-2604,1000,6/1/22,110916,113808,104848,B11
HILLWOOD BOYS BASKETBALL BOOSTER CLUB INC,400 DAVIDSON RD,NASHVILLE,37205-3100,1000,,,,,B94
HILLWOOD HIGH SCHOOL CHOIR BOOSTER,400 DAVIDSON RD,NASHVILLE,37205-3100,2000,6/1/22,0,0,0,B12
HISTORIC RANDYS RECORD SHOP FOUNDATION,2570 HIGHWAY 31 E,GALLATIN,37066-8315,1200,12/1/19,0,0,0,B11
HIXSON HIGH SCHOOL ALUMNI ASSOCIATION,PO BOX 713,HIXSON,37343-0713,1000,12/1/22,0,0,0,B84
HJ LITTLEJOHN FAMILY FOUNDATION INC,2121 CHICKERING LN,NASHVILLE,37215-5401,2000,12/1/22,1944678,291331,,B90
HOLLADAY SCHOOL PTH,148 STOKES RD,HOLLADAY,38341-4028,1000,6/1/21,0,0,0,B94
HOME BUILDERS CARE OF RUTHERFORD COUNTY INC,352 W NORTHFIELD BLVD STE 4C # F,MURFREESBORO,37129-1539,1000,12/1/22,0,0,0,B82
HOMEWORK HOTLINE INC,4805 PARK AVE,NASHVILLE,37209-3436,2000,6/1/22,458980,283171,283171,B99Z
HONOR SOCIETY OF PHI KAPPA PHI,101 SHENANDOAH DR,JOHNSON CITY,37601-6413,1000,6/1/22,0,0,0,B830
HONOR SOCIEY OF PHI KAPPA PHI,915 VOLUNTEER BLVD,KNOXVILLE,37916-3107,1000,6/1/22,0,0,0,B830
HOPKINSVILLE-FORT CAMPBELL KY ALUMNI CHAPTER OF KAPPA ALPHA PSI,PO BOX 2835,CLARKSVILLE,37042-2835,1000,9/1/22,0,0,0,B84
HOUSTON BAND FOUNDATION,556 GRAND STEEPLE DR,COLLIERVILLE,38017-6197,1200,12/1/20,18600,1000,1000,B82
HOUSTON HIGH SCHOOL BAND BOOSTERS,PO BOX 38233,GERMANTOWN,38183-0233,1000,5/1/22,89265,172367,156233,B11
HOUSTON MIDDLE SCHOOL BAND BOOSTERS,9400 WOLF RIVER BLVD,GERMANTOWN,38139-3574,1000,6/1/22,0,0,0,B94
HOUSTON MIDDLE SCHOOL POM BOOSTERS,9400 WOLF RIVER BLVD,GERMANTOWN,38139-3574,1000,3/1/23,650,53996,37081,B99
HUME-FOGG ASSOCIATION,700 BROADWAY,NASHVILLE,37203-3937,1000,6/1/22,143793,86455,69718,B11
HUTCHISON SCHOOL,1740 RIDGEWAY RD,MEMPHIS,38119-5314,2000,6/1/22,48391428,24188665,23507593,B200
IGNITE SCHOOL HOUSE INC,3614 HONEYWOOD DR,JOHNSON CITY,37604-1476,2000,12/1/20,0,0,0,B25
INDEPENDENCE HIGH SCHOOL PTSO,1776 DELCARATION WAY,THOMPSONS STATION,37179-0000,1200,6/1/22,458068,911433,848792,B94
INDIAN NATION BAND BOOSTERS,3955 HIGHWAY 48,CUNNINGHAM,37052-5020,1200,6/1/22,0,0,0,B11
INGLESIDE SCHOOL PARENT AND TEACHER ORGANIZATION,200 GUILLE ST,ATHENS,37303-3714,1200,6/1/19,0,0,0,B94
INNATE NOWLEDGE COMMUNITY,3824 NORTHCLIFFE DR,MEMPHIS,38128-5496,2000,12/1/20,0,0,0,B99
INSTRUCTION PARTNERS,604 GALLATIN AVE STE 202,NASHVILLE,37206-3476,2000,6/1/22,24543685,34569990,34569990,B99
INTERCOLLEGIATE CENTER FOR CLASSICAL STUDIES,1585 MALLORY LN STE 104,BRENTWOOD,37027-3036,2000,6/1/22,11967072,5333404,3220383,B42
INTERNATIONAL COLLEGE OF MEDICAL QIGONG,2015 TOLBERT HOLLOW ROAD,BRADYVILLE,37026-0000,2000,12/1/21,0,0,0,B28
IOTA ALPHA FOUNDATION,PO BOX 6824,KNOXVILLE,37914-0824,1200,10/1/21,0,0,0,B82
ISAAC LITTON ALUMNI ASSOCIATION INC,PO BOX 752,MADISON,37116-0752,1200,12/1/22,0,0,0,B84
IVYBROOK ACADEMY HENDERSONVILLE PARENT TEACHER ASSOCIATION,1006 GLENBROOK WAY STE 140,HENDERSONVLLE,37075-1318,2000,12/1/21,0,0,0,B94
JACK ANDERSON ELEMENTARY SCHOOL PTO,250 SHUTE LN,HENDERSONVLLE,37075-5829,1200,6/1/22,151585,301359,263248,B94
JACKSON AREA BEE KEEPERS ASSOCIACION INC,104 MCREE SCHOOLHOUSE RD,TRENTON,38382-9789,2000,12/1/22,0,0,0,B90
JACKSON CHRISTIAN SCHOOL INCORPORATED,832 COUNTRY CLUB LN,JACKSON,38305-8750,2000,5/1/22,21770980,8811218,8806218,B24Z
JACKSON MADISON COUNTY LIBRARY FOUNDATION,433 E LAFAYETTE ST,JACKSON,38301-6340,1000,12/1/22,123419,36564,22677,B70
JAMES B COLLINS MEMORIAL FUND INC,4010 TONYA MARIE CV N,BARTLETT,38135-9190,1000,6/1/22,0,0,0,B90
JAMES L CRAIG FUND FOR COLUMBIA CHS STUDENTS,708 N MAIN ST,COLUMBIA,38401-3318,1000,12/1/20,275255,75743,75743,B112
JAN PENNINGTON GRAY HARP SCHOLARSHIP FUND INC,703 COURTNEY LN,CHATTANOOGA,37415-1276,1000,12/1/20,28066,3988,3988,B82
JANETTE DAY RESIDUARY EDUCATIONAL TRUST 1M4831005,6200 POPLAR AVE,MEMPHIS,38119-4713,2000,10/1/22,22879,13290,,B82
